	0.000701	(0.0006139092243185838, 0.000788090775681417)
	0.000868	(0.0007710971120764676, 0.0009649028879235333)
	0.001073	(0.0009652711161749579, 0.001180728883825043)
	0.001247	(0.0011308744728667597, 0.0013631255271332415)
	0.001514	(0.001386062060832147, 0.0016419379391678542)
	0.001673	(0.001538522445684924, 0.0018074775543150774)
	0.002063	(0.0019136976650413352, 0.0022123023349586665)
	0.002176        (0.0020226718691126588, 0.0023293281308873425)
        0.002547        (0.0023811459365828875, 0.002712854063417114)
        0.002703        (0.002532155617891904, 0.0028738443821080977)
        0.003161        (0.0029762900964223488, 0.0033457099035776533)
